480,3,1460
480,4,2048
480,4,4671
480,5,2872
480,5,4818
480,6,2106
600,29,5481
600,32,5678
600,32,1622
600,33,1958
600,34,9986
600,34,6345
660,30,4488
660,31,8991
660,49,3742
660,49,7957
660,55,4059
660,56,0161
720,8,3243
720,9,5785
720,22,7342
720,22,5244
720,29,7621
720,29,5657
720,33,4578
720,33,1126
720,51,6189
720,52,1893
480,56,5914
480,57,8258
540,14,8530
540,14,2731
540,21,8887
540,21,9654
540,23,8224
540,23,6971
540,44,2884
540,44,8920
720,9,5536
720,9,6225
720,10,1816
720,11,8539
720,12,7077
720,12,7494
720,12,1317
720,13,7153
720,13,0274
720,15,6851
720,15,9434
720,16,3172
720,16,9174
720,16,0621
720,16,7679
720,16,6357
720,17,2715
720,17,2581
720,17,5487
720,17,5245
720,19,4616
720,19,7837
720,19,1252
720,19,2519
720,20,5871
720,20,1488
720,20,7489
720,20,2313
720,22,1938
720,22,3134
720,23,1135
720,23,4886
720,23,5916
720,23,9851
720,23,6169
720,23,7266
720,56,5441
720,57,3028
720,57,7273
720,57,4100
720,57,8516
720,58,2158
720,58,4620
720,59,4965
720,59,8510
720,59,6224
720,59,3572
720,59,5125
60,0,3706
60,0,3826
60,1,7567
60,1,7361
660,35,6166
660,35,3515
660,42,5227
720,22,1133
720,22,6414
720,23,8918
720,24,1621
720,27,6015
720,27,4364
720,29,8383
720,29,2924
360,56,3383
360,57,7114
360,57,8741
360,57,8312
360,57,1773
360,58,3762
360,58,2233
360,58,5914
360,59,7816
360,59,1330
360,59,8250
360,59,4288
420,0,7259
420,0,4461
420,0,3584
420,1,6156
420,1,3763
420,1,4267
420,1,8238
420,2,7838
420,3,4489
420,4,3844
420,6,1112
420,7,7113
420,7,5474
420,8,9301
420,9,3345
420,9,3999
420,9,7264
420,10,5386
420,10,6343
420,10,2060
420,12,3432
420,12,3712
420,21,7328
420,21,8868
420,26,3877
420,26,9243
420,51,3590
420,52,3621
420,54,6477
420,55,5515
420,59,7399
420,59,1359
420,59,8713
420,59,3757
420,59,8399
420,59,7081
420,59,1132
480,0,2265
480,0,8665
480,0,5224
480,0,7407
480,0,7732
480,0,3707
480,0,0585
480,1,3663
480,1,5914
480,2,1113
480,3,3588
480,3,7272
480,3,8731
480,3,7524
480,4,6831
480,4,5576
480,4,5105
480,4,9035
480,4,7964
480,4,3172
480,4,1690
480,4,1563
480,4,6218
480,5,2265
480,5,7455
480,5,3838
480,5,3175
480,5,5885
480,5,2333
480,5,7754
480,6,7320
480,6,6238
480,6,2335
480,6,8518
480,7,0573
480,17,1408
480,17,2453
480,20,0335
480,20,9167
480,22,1334
480,52,3552
480,53,3153
480,53,1337
480,53,6028
480,53,8915
480,53,4552
480,53,5753
480,53,1344
480,55,6832
480,55,2128
480,55,4565
480,56,7318
480,56,8929
480,56,3644
480,56,4264
480,56,3346
480,56,5105
480,57,5383
480,57,2765
480,57,1621
480,57,6986
480,57,4462
480,57,1614
480,58,0782
540,2,3795
540,2,8685
540,2,0363
